category,href,num_freelancers,date
Informations- und Kommunikationstechnologie,/Freelancer/K/IT-Entwicklung-Freelancer,59446,2025-03-18
Softwareentwicklung / -programmierung,/Freelancer/K/IT-Entwicklung-Freelancer/Softwareentwicklung-Softwareprogrammierung-Freelancer,23940,2025-03-18
Projektleitung / -management,/Freelancer/K/IT-Entwicklung-Freelancer/Projektleitung-Projektmanagement-IT-Freelancer,18137,2025-03-18
Web,/Freelancer/K/IT-Entwicklung-Freelancer/Web-Freelancer,17050,2025-03-18
Weitere IT-Qualifikationen,/Freelancer/K/IT-Entwicklung-Freelancer/Weitere-IT-Qualifikationen-Freelancer,14428,2025-03-18
Datenbanken,/Freelancer/K/IT-Entwicklung-Freelancer/Datenbanken-Freelancer,11459,2025-03-18
Business Intelligence,/Freelancer/K/IT-Entwicklung-Freelancer/Business-Intelligence-Freelancer,6829,2025-03-18
SAP,/Freelancer/K/IT-Entwicklung-Freelancer/SAP-Freelancer,5708,2025-03-18
Qualitätsmanagement / Testing,/Freelancer/K/IT-Entwicklung-Freelancer/Qualitaetsmanagement-Testing-Freelancer,5589,2025-03-18
System Architektur / Analyse,/Freelancer/K/IT-Entwicklung-Freelancer/Systemarchitektur-Systemanalyse-Freelancer,5105,2025-03-18
System- und Anwendungsadministratoren,/Freelancer/K/IT-Entwicklung-Freelancer/Plattformen-Betriebssysteme-Freelancer,4957,2025-03-18
ERP / CRM Systeme,/Freelancer/K/IT-Entwicklung-Freelancer/ERP-CRM-Systeme-Freelancer,4829,2025-03-18
Software Architektur / Analyse,/Freelancer/K/IT-Entwicklung-Freelancer/Softwarearchitektur-Softwareanalyse-Freelancer,4746,2025-03-18
IT Sicherheit,/Freelancer/K/IT-Entwicklung-Freelancer/IT-Sicherheit-Freelancer,4342,2025-03-18
Virtualisierung,/Freelancer/K/IT-Entwicklung-Freelancer/Virtualisierung-Freelancer,4048,2025-03-18
Telekommunikation / Netzwerke,/Freelancer/K/IT-Entwicklung-Freelancer/Telekommunikation-Netzwerke-Freelancer,3973,2025-03-18
Systemadministration,/Freelancer/K/IT-Entwicklung-Freelancer/Systemadministration-Freelancer,3367,2025-03-18
Support / Techniker,/Freelancer/K/IT-Entwicklung-Freelancer/Support-Techniker-Freelancer,3249,2025-03-18
Serveradministration,/Freelancer/K/IT-Entwicklung-Freelancer/Serveradministration-Freelancer,2996,2025-03-18
Mitarbeiter Support,/Freelancer/K/IT-Entwicklung-Freelancer/Incidentmanagement-Servicemanagement-ITIL-Freelancer,2685,2025-03-18
User Interface / User Experience,/Freelancer/K/IT-Entwicklung-Freelancer/User-Interface-User-Experience-Freelancer,2622,2025-03-18
DevOps,/Freelancer/K/IT-Entwicklung-Freelancer/DevOps-Freelancer,2317,2025-03-18
Hardware-Entwicklung / Engineering,/Freelancer/K/IT-Entwicklung-Freelancer/Hardware-Entwicklung-Engineering-Freelancer,1924,2025-03-18
Maschinelles Lernen,/Freelancer/K/IT-Entwicklung-Freelancer/Maschinelles-Lernen-Freelancer,1747,2025-03-18
Programmierer,/Freelancer/K/IT-Entwicklung-Freelancer/Programmierer-Freelancer,1122,2025-03-18
Berater und Spezialisten,/Freelancer/K/IT-Entwicklung-Freelancer/Berater-Und-Spezialisten-Freelancer,952,2025-03-18
Softwarepaketierung / Verteilung,/Freelancer/K/IT-Entwicklung-Freelancer/Softwarepaketierung-Verteilung-Freelancer,925,2025-03-18
Shopify,/Freelancer/K/IT-Entwicklung-Freelancer/Shopify-Freelancer,624,2025-03-18
IT-Koordinatoren,/Freelancer/K/IT-Entwicklung-Freelancer/It-koordinatoren-Freelancer,529,2025-03-18
Web Professionals,/Freelancer/K/IT-Entwicklung-Freelancer/Web-Professionals-Freelancer,506,2025-03-18
Systementwickler und -analytiker,/Freelancer/K/IT-Entwicklung-Freelancer/Systementwickler-Und-analytiker-Freelancer,402,2025-03-18
Leitende Angestelle IT,/Freelancer/K/IT-Entwicklung-Freelancer/Leitende-Angestelle-It-Freelancer,363,2025-03-18
Natural Language Processing,/Freelancer/K/IT-Entwicklung-Freelancer/Natural-Language-Processing-Freelancer,313,2025-03-18
Blockchain,/Freelancer/K/IT-Entwicklung-Freelancer/Blockchain-Freelancer,223,2025-03-18
