date;job_group;num_jobs;href
2023-11-08;Design, Kunst, Medien;21702;/Freelancer/K/Design-Kunst-Medien-Freelancer/
2023-11-08;Design;13497;/Freelancer/K/Design-Kunst-Medien-Freelancer/Design-Freelancer/
2023-11-08;Grafik- / Animationssoftware;6088;/Freelancer/K/Design-Kunst-Medien-Freelancer/Grafik-Animationssoftware-Freelancer/
2023-11-08;Kunst;3543;/Freelancer/K/Design-Kunst-Medien-Freelancer/Kunst-Freelancer/
2023-11-08;Medien;4172;/Freelancer/K/Design-Kunst-Medien-Freelancer/Medien-Freelancer/
2023-11-08;Redaktion;6323;/Freelancer/K/Design-Kunst-Medien-Freelancer/Redaktion-Freelancer/
2023-11-08;Einkauf, Handel, Logistik;6896;/Freelancer/K/Einkauf-Handel-Logistik-Freelancer/
2023-11-08;Einkauf;2298;/Freelancer/K/Einkauf-Handel-Logistik-Freelancer/Einkauf-Freelancer/
2023-11-08;Handel / E-Commerce;2262;/Freelancer/K/Einkauf-Handel-Logistik-Freelancer/Handel-E-Commerce-Freelancer/
2023-11-08;Import / Export;434;/Freelancer/K/Einkauf-Handel-Logistik-Freelancer/Import-Export-Freelancer/
2023-11-08;Lieferantenmanagement;1126;/Freelancer/K/Einkauf-Handel-Logistik-Freelancer/Lieferantenmanagement-Freelancer/
2023-11-08;Logistik / Supply-Chain-Management;2404;/Freelancer/K/Einkauf-Handel-Logistik-Freelancer/Supply-Chain-Management-Freelancer/
2023-11-08;Transport / Spedition;495;/Freelancer/K/Einkauf-Handel-Logistik-Freelancer/Transport-Freelancer/
2023-11-08;Finanzen, Versicherung, Recht;7360;/Freelancer/K/Finanzen-Versicherung-Recht-Freelancer/
2023-11-08;Finanzwesen;2882;/Freelancer/K/Finanzen-Versicherung-Recht-Freelancer/Finanzwesen-Freelancer/
2023-11-08;Rechnungswesen;4155;/Freelancer/K/Finanzen-Versicherung-Recht-Freelancer/Rechnungswesen-Freelancer/
2023-11-08;Rechtswesen;1554;/Freelancer/K/Finanzen-Versicherung-Recht-Freelancer/Rechtswesen-Freelancer/
2023-11-08;Versicherungen;500;/Freelancer/K/Finanzen-Versicherung-Recht-Freelancer/Versicherungen-Freelancer/
2023-11-08;Forschung, Wissenschaft, Bildung;7251;/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer/
2023-11-08;Bildung;1385;/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer/Bildung-Freelancer/
2023-11-08;Forschung / Entwicklung;1408;/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer/Forschung-Entwicklung-Freelancer/
2023-11-08;Medizinische Wissenschaft;961;/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer/Medizinische-Wissenschaft-Freelancer/
2023-11-08;Wissenschaft;4431;/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer/Wissenschaft-Freelancer/
2023-11-08;IT, Entwicklung;50302;/Freelancer/K/IT-Entwicklung-Freelancer/
2023-11-08;Blockchain;198;/Freelancer/K/IT-Entwicklung-Freelancer/Blockchain-Freelancer/
2023-11-08;Business Intelligence;5500;/Freelancer/K/IT-Entwicklung-Freelancer/Business-Intelligence-Freelancer/
2023-11-08;Datenbanken;9804;/Freelancer/K/IT-Entwicklung-Freelancer/Datenbanken-Freelancer/
2023-11-08;DevOps;1601;/Freelancer/K/IT-Entwicklung-Freelancer/DevOps-Freelancer/
2023-11-08;ERP / CRM Systeme;3737;/Freelancer/K/IT-Entwicklung-Freelancer/ERP-CRM-Systeme-Freelancer/
2023-11-08;Hardware-Entwicklung / Engineering;1674;/Freelancer/K/IT-Entwicklung-Freelancer/Hardware-Entwicklung-Engineering-Freelancer/
2023-11-08;Incident / Service Management / ITIL;2294;/Freelancer/K/IT-Entwicklung-Freelancer/Incidentmanagement-Servicemanagement-ITIL-Freelancer/
2023-11-08;IT Sicherheit;3542;/Freelancer/K/IT-Entwicklung-Freelancer/IT-Sicherheit-Freelancer/
2023-11-08;Maschinelles Lernen;1192;/Freelancer/K/IT-Entwicklung-Freelancer/Maschinelles-Lernen-Freelancer/
2023-11-08;Natural Language Processing (NLP);254;/Freelancer/K/IT-Entwicklung-Freelancer/Natural-Language-Processing-Freelancer/
2023-11-08;Plattformen / Betriebssysteme;4537;/Freelancer/K/IT-Entwicklung-Freelancer/Plattformen-Betriebssysteme-Freelancer/
2023-11-08;Projektleitung / -management (IT);15339;/Freelancer/K/IT-Entwicklung-Freelancer/Projektleitung-Projektmanagement-IT-Freelancer/
2023-11-08;Qualitätsmanagement / Testing (IT);4721;/Freelancer/K/IT-Entwicklung-Freelancer/Qualitaetsmanagement-Testing-Freelancer/
2023-11-08;SAP;4938;/Freelancer/K/IT-Entwicklung-Freelancer/SAP-Freelancer/
2023-11-08;Serveradministration;2559;/Freelancer/K/IT-Entwicklung-Freelancer/Serveradministration-Freelancer/
2023-11-08;Shopify;476;/Freelancer/K/IT-Entwicklung-Freelancer/Shopify-Freelancer/
2023-11-08;Software Architektur / Analyse;3909;/Freelancer/K/IT-Entwicklung-Freelancer/Softwarearchitektur-Softwareanalyse-Freelancer/
2023-11-08;Softwareentwicklung / -programmierung;20315;/Freelancer/K/IT-Entwicklung-Freelancer/Softwareentwicklung-Softwareprogrammierung-Freelancer/
2023-11-08;Softwarepaketierung / Verteilung;878;/Freelancer/K/IT-Entwicklung-Freelancer/Softwarepaketierung-Verteilung-Freelancer/
2023-11-08;Support / Techniker;2982;/Freelancer/K/IT-Entwicklung-Freelancer/Support-Techniker-Freelancer/
2023-11-08;System Architektur / Analyse;3835;/Freelancer/K/IT-Entwicklung-Freelancer/Systemarchitektur-Systemanalyse-Freelancer/
2023-11-08;Systemadministration;3067;/Freelancer/K/IT-Entwicklung-Freelancer/Systemadministration-Freelancer/
2023-11-08;Telekommunikation / Netzwerke;3484;/Freelancer/K/IT-Entwicklung-Freelancer/Telekommunikation-Netzwerke-Freelancer/
2023-11-08;User Interface / User Experience;2083;/Freelancer/K/IT-Entwicklung-Freelancer/User-Interface-User-Experience-Freelancer/
2023-11-08;Virtualisierung;3106;/Freelancer/K/IT-Entwicklung-Freelancer/Virtualisierung-Freelancer/
2023-11-08;Web;14443;/Freelancer/K/IT-Entwicklung-Freelancer/Web-Freelancer/
2023-11-08;Weitere IT-Qualifikationen;11876;/Freelancer/K/IT-Entwicklung-Freelancer/Weitere-IT-Qualifikationen-Freelancer/
2023-11-08;Marketing, Vertrieb, Kommunikation;19666;/Freelancer/K/Marketing-Vertrieb-Kommunikation-Freelancer/
2023-11-08;Kommunikation;6936;/Freelancer/K/Marketing-Vertrieb-Kommunikation-Freelancer/Kommunikation-Freelancer/
2023-11-08;Marketing;13890;/Freelancer/K/Marketing-Vertrieb-Kommunikation-Freelancer/Marketing-Freelancer/
2023-11-08;Vertrieb;4626;/Freelancer/K/Marketing-Vertrieb-Kommunikation-Freelancer/Vertrieb-Freelancer/
2023-11-08;Management, Unternehmen, Strategie;29540;/Freelancer/K/Management-Unternehmen-Strategie-Freelancer/
2023-11-08;Management;11384;/Freelancer/K/Management-Unternehmen-Strategie-Freelancer/Management-Freelancer/
2023-11-08;Personalwesen;4457;/Freelancer/K/Management-Unternehmen-Strategie-Freelancer/Personalwesen-Freelancer/
2023-11-08;Projektleitung / -management / PMO;16418;/Freelancer/K/Management-Unternehmen-Strategie-Freelancer/Projektleitung-Projektmanagement-PMO-Freelancer/
2023-11-08;Qualitätsmanagement;2930;/Freelancer/K/Management-Unternehmen-Strategie-Freelancer/Qualitaetsmanagement-Freelancer/
2023-11-08;Strategie;10493;/Freelancer/K/Management-Unternehmen-Strategie-Freelancer/Strategie-Freelancer/
2023-11-08;Weitere organisatorische Qualifikationen;4288;/Freelancer/K/Management-Unternehmen-Strategie-Freelancer/Weitere-organisatorische-Freelancer/
2023-11-08;Sprachen, Dienstleistung, Soziales;12353;/Freelancer/K/Sprachen-Dienstleistung-Soziales-Freelancer/
2023-11-08;Dienstleistung;2382;/Freelancer/K/Sprachen-Dienstleistung-Soziales-Freelancer/Dienstleistung-Freelancer/
2023-11-08;Erziehung;42;/Freelancer/K/Sprachen-Dienstleistung-Soziales-Freelancer/Erziehung-Freelancer/
2023-11-08;Soziales;277;/Freelancer/K/Sprachen-Dienstleistung-Soziales-Freelancer/Soziales-Freelancer/
