date;job_group;num_jobs;href
2023-11-03;Design, Kunst, Medien;103;/Projekte/K/Design-Kunst-Medien-Projekte/
2023-11-03;Design;51;/Projekte/K/Design-Kunst-Medien-Projekte/Design-Projekte/
2023-11-03;Grafik- / Animationssoftware;19;/Projekte/K/Design-Kunst-Medien-Projekte/Grafik-Animationssoftware-Projekte/
2023-11-03;Kunst;9;/Projekte/K/Design-Kunst-Medien-Projekte/Kunst-Projekte/
2023-11-03;Medien;6;/Projekte/K/Design-Kunst-Medien-Projekte/Medien-Projekte/
2023-11-03;Redaktion;33;/Projekte/K/Design-Kunst-Medien-Projekte/Redaktion-Projekte/
2023-11-03;Einkauf, Handel, Logistik;302;/Projekte/K/Einkauf-Handel-Logistik/
2023-11-03;Einkauf;82;/Projekte/K/Einkauf-Handel-Logistik/Einkauf-Projekte/
2023-11-03;Handel / E-Commerce;110;/Projekte/K/Einkauf-Handel-Logistik/Handel-E-Commerce-Projekte/
2023-11-03;Import / Export;24;/Projekte/K/Einkauf-Handel-Logistik/Import-Export-Projekte/
2023-11-03;Lieferantenmanagement;14;/Projekte/K/Einkauf-Handel-Logistik/Lieferantenmanagement-Projekte/
2023-11-03;Logistik / Supply-Chain-Management;95;/Projekte/K/Einkauf-Handel-Logistik/Supply-Chain-Management-Projekte/
2023-11-03;Transport / Spedition;11;/Projekte/K/Einkauf-Handel-Logistik/Transport-Projekte/
2023-11-03;Finanzen, Versicherung, Recht;399;/Projekte/K/Finanzen-Versicherung-Recht-Projekte/
2023-11-03;Finanzwesen;148;/Projekte/K/Finanzen-Versicherung-Recht-Projekte/Finanzwesen-Projekte/
2023-11-03;Rechnungswesen;219;/Projekte/K/Finanzen-Versicherung-Recht-Projekte/Rechnungswesen-Projekte/
2023-11-03;Rechtswesen;109;/Projekte/K/Finanzen-Versicherung-Recht-Projekte/Rechtswesen-Projekte/
2023-11-03;Versicherungen;10;/Projekte/K/Finanzen-Versicherung-Recht-Projekte/Versicherungen-Projekte/
2023-11-03;Forschung, Wissenschaft, Bildung;307;/Projekte/K/Forschung-Wissenschaft-Bildung-Projekte/
2023-11-03;Bildung;1;/Projekte/K/Forschung-Wissenschaft-Bildung-Projekte/Bildung-Projekte/
2023-11-03;Forschung / Entwicklung;19;/Projekte/K/Forschung-Wissenschaft-Bildung-Projekte/Forschung-Entwicklung-Projekte/
2023-11-03;Medizinische Wissenschaft;54;/Projekte/K/Forschung-Wissenschaft-Bildung-Projekte/Medizinische-Wissenschaft-Projekte/
2023-11-03;Wissenschaft;259;/Projekte/K/Forschung-Wissenschaft-Bildung-Projekte/Wissenschaft-Projekte/
2023-11-03;IT, Entwicklung;2540;/Projekte/K/IT-Entwicklung-Projekte/
2023-11-03;Blockchain;6;/Projekte/K/IT-Entwicklung-Projekte/Blockchain-Projekte/
2023-11-03;Business Intelligence;134;/Projekte/K/IT-Entwicklung-Projekte/Business-Intelligence-Projekte/
2023-11-03;Datenbanken;226;/Projekte/K/IT-Entwicklung-Projekte/Datenbanken-Projekte/
2023-11-03;DevOps;91;/Projekte/K/IT-Entwicklung-Projekte/DevOps-Projekte/
2023-11-03;ERP / CRM Systeme;301;/Projekte/K/IT-Entwicklung-Projekte/ERP-CRM-Systeme-Projekte/
2023-11-03;Hardware-Entwicklung / Engineering;110;/Projekte/K/IT-Entwicklung-Projekte/Hardware-Entwicklung-Engineering-Projekte/
2023-11-03;Incident / Service Management / ITIL;47;/Projekte/K/IT-Entwicklung-Projekte/Incidentmanagement-Servicemanagement-ITIL-Projekte/
2023-11-03;IT Sicherheit;259;/Projekte/K/IT-Entwicklung-Projekte/IT-Sicherheit-Projekte/
2023-11-03;Maschinelles Lernen;12;/Projekte/K/IT-Entwicklung-Projekte/Maschinelles-Lernen-Projekte/
2023-11-03;Natural Language Processing (NLP);1;/Projekte/K/IT-Entwicklung-Projekte/Natural-Language-Processing-Projekte/
2023-11-03;Plattformen / Betriebssysteme;158;/Projekte/K/IT-Entwicklung-Projekte/Plattformen-Betriebssysteme-Projekte/
2023-11-03;Projektleitung / -management (IT);220;/Projekte/K/IT-Entwicklung-Projekte/Projektleitung-Projektmanagement-IT-Projekte/
2023-11-03;Qualitätsmanagement / Testing (IT);146;/Projekte/K/IT-Entwicklung-Projekte/Qualitaetsmanagement-Testing-Projekte/
2023-11-03;SAP;525;/Projekte/K/IT-Entwicklung-Projekte/SAP-Projekte/
2023-11-03;Serveradministration;117;/Projekte/K/IT-Entwicklung-Projekte/Serveradministration-Projekte/
2023-11-03;Shopify;2;/Projekte/K/IT-Entwicklung-Projekte/Shopify-Projekte/
2023-11-03;Software Architektur / Analyse;88;/Projekte/K/IT-Entwicklung-Projekte/Softwarearchitektur-Softwareanalyse-Projekte/
2023-11-03;Softwareentwicklung / -programmierung;694;/Projekte/K/IT-Entwicklung-Projekte/Softwareentwicklung-Softwareprogrammierung-Projekte/
2023-11-03;Softwarepaketierung / Verteilung;15;/Projekte/K/IT-Entwicklung-Projekte/Softwarepaketierung-Verteilung-Projekte/
2023-11-03;Support / Techniker;72;/Projekte/K/IT-Entwicklung-Projekte/Support-Techniker-Projekte/
2023-11-03;System Architektur / Analyse;302;/Projekte/K/IT-Entwicklung-Projekte/Systemarchitektur-Systemanalyse-Projekte/
2023-11-03;Systemadministration;205;/Projekte/K/IT-Entwicklung-Projekte/Systemadministration-Projekte/
2023-11-03;Telekommunikation / Netzwerke;185;/Projekte/K/IT-Entwicklung-Projekte/Telekommunikation-Netzwerke-Projekte/
2023-11-03;User Interface / User Experience;29;/Projekte/K/IT-Entwicklung-Projekte/User-Interface-User-Experience-Projekte/
2023-11-03;Virtualisierung;161;/Projekte/K/IT-Entwicklung-Projekte/Virtualisierung-Projekte/
2023-11-03;Web;304;/Projekte/K/IT-Entwicklung-Projekte/Web-Projekte/
2023-11-03;Weitere IT-Qualifikationen;355;/Projekte/K/IT-Entwicklung-Projekte/Weitere-IT-Qualifikationen-Projekte/
2023-11-03;Marketing, Vertrieb, Kommunikation;229;/Projekte/K/Marketing-Vertrieb-Kommunikation-Projekte/
2023-11-03;Kommunikation;54;/Projekte/K/Marketing-Vertrieb-Kommunikation-Projekte/Kommunikation-Projekte/
2023-11-03;Marketing;114;/Projekte/K/Marketing-Vertrieb-Kommunikation-Projekte/Marketing-Projekte/
2023-11-03;Vertrieb;76;/Projekte/K/Marketing-Vertrieb-Kommunikation-Projekte/Vertrieb-Projekte/
2023-11-03;Management, Unternehmen, Strategie;903;/Projekte/K/Management-Unternehmen-Strategie-Projekte/
2023-11-03;Management;163;/Projekte/K/Management-Unternehmen-Strategie-Projekte/Management-Projekte/
2023-11-03;Personalwesen;70;/Projekte/K/Management-Unternehmen-Strategie-Projekte/Personalwesen-Projekte/
2023-11-03;Projektleitung / -management / PMO;457;/Projekte/K/Management-Unternehmen-Strategie-Projekte/Projektleitung-Projektmanagement-PMO-Projekte/
2023-11-03;Qualitätsmanagement;176;/Projekte/K/Management-Unternehmen-Strategie-Projekte/Qualitaetsmanagement-Projekte/
