group1,group2,correlation
Location,Work Model,0.9997892547616712
Other,Testing,0.9937973020682204
Location,Other,0.988944500282593
Location,Testing,0.9885609617685873
Other,Work Model,0.9879962975354942
Testing,Work Model,0.9878639405168185
Development,Management,0.9873798916515808
Location,Management,0.9851965975600387
Management,Work Model,0.9845901393883549
Management,Other,0.974313025395646
Consulting,Finance,0.9706553179499815
Management,Testing,0.9681042640349057
Design,Marketing,0.9619937498381481
Other,SAP,0.9600453267921517
Management,Marketing,0.9592665749023095
Consulting,SAP,0.9568360179224531
Development,Marketing,0.956747281597372
Development,Location,0.9555986971617596
Development,Work Model,0.9541956625926747
Design,Development,0.9529128957042784
Marketing,Work Model,0.951225137891775
Finance,Healthcare,0.9505019875401086
Location,Marketing,0.9498155722360342
Consulting,Healthcare,0.945411727348598
SAP,Testing,0.9438777041249482
Consulting,Data,0.940233381997885
Development,Engineering,0.936643844035331
Design,Management,0.935270850785015
Consulting,Other,0.9341742374138999
Finance,SAP,0.9338060427758573
Development,Other,0.9330101078259756
Development,Testing,0.9269263348882743
Data,Other,0.926840258417502
Location,SAP,0.9217861692576202
SAP,Work Model,0.9196545007271519
Data,Testing,0.9191870649441044
Consulting,Testing,0.9191167318576214
Marketing,Testing,0.9141437099750894
Healthcare,SAP,0.9135370938611279
Data,SAP,0.9127763602566858
Marketing,Other,0.9092201397151346
Management,SAP,0.9065499435885692
Design,Work Model,0.9035988871412248
Data,Finance,0.9031151246394354
Finance,Other,0.9017165844625116
Design,Location,0.9013979354481815
Design,Engineering,0.8984917328640138
Engineering,Management,0.8968308748337916
Healthcare,Other,0.8939383658192218
Finance,Testing,0.8869863702022673
Data,Location,0.8868622485953691
Data,Work Model,0.8856929256337482
Data,Healthcare,0.8798635453405657
Data,Management,0.879774707039346
Consulting,Location,0.8793397977071749
Healthcare,Testing,0.8786409315923859
Consulting,Work Model,0.8772600607742573
Design,Testing,0.8676170414218606
Design,Other,0.8599430868276234
Development,SAP,0.8544410928733404
Engineering,Marketing,0.8499380445139557
Consulting,Management,0.8472897740658561
Finance,Location,0.8416668689677241
Finance,Work Model,0.841101039668638
Healthcare,Location,0.8380136558494439
Healthcare,Work Model,0.8354563429777075
Engineering,Location,0.8293984557516445
Engineering,Work Model,0.8276755096495556
Data,Development,0.8233255782254324
Marketing,SAP,0.8081200664467275
Engineering,Other,0.8016266794029008
Healthcare,Management,0.7974433367191441
Finance,Management,0.7966778564910773
Engineering,Testing,0.7907491076672096
Consulting,Development,0.7711456860813675
Data,Marketing,0.7707059453198243
Design,SAP,0.7619722598585805
Data,Design,0.7502730473767292
Data,Engineering,0.7353973367994586
Development,Healthcare,0.7263666936390191
Consulting,Marketing,0.7255564625466748
Infrastructure,SAP,0.7067948637644007
Development,Finance,0.7050762611679006
Engineering,Infrastructure,0.6883717986790873
Engineering,SAP,0.6881164111464751
Development,Infrastructure,0.6811931175250824
Finance,Marketing,0.6697446563717036
Data,Infrastructure,0.667770184710163
Healthcare,Marketing,0.6620192551849308
Infrastructure,Management,0.6568708487081149
Consulting,Design,0.6527845009058457
Infrastructure,Other,0.6322840140884084
Healthcare,Infrastructure,0.6312954420544844
Consulting,Engineering,0.6190850199315746
Consulting,Infrastructure,0.6164035810615222
Design,Healthcare,0.6135243248686476
Design,Infrastructure,0.6079069195021002
Infrastructure,Testing,0.6004756454866426
Design,Finance,0.6001330045742352
Engineering,Healthcare,0.590711187096342
Infrastructure,Location,0.5802134814209878
Infrastructure,Work Model,0.5735462909838013
Finance,Infrastructure,0.5668087271263129
Engineering,Finance,0.5417053355384239
Infrastructure,Marketing,0.5010646318150729
Infrastructure,Legal,0.04325897492095456
Engineering,Legal,-0.04149694342291914
Design,Legal,-0.16604362633931202
Development,Legal,-0.2253091359833363
Legal,Marketing,-0.3082829544624733
Legal,Management,-0.3338030940572003
Legal,Location,-0.4387929820174351
Legal,Work Model,-0.4400275317909135
Legal,SAP,-0.4615777018976225
Legal,Other,-0.47038842006212206
Legal,Testing,-0.48097803191906285
Data,Legal,-0.4911751704706902
Healthcare,Legal,-0.5291013074977766
Consulting,Legal,-0.5800094562457607
Finance,Legal,-0.6007990221993991
