group,category,num
Consulting,Beratung,626
Consulting,Prozessoptimierung,548
Consulting,Berater und Spezialisten,365
Consulting,Geschäftsprozesse,233
Consulting,Logistikprozesse,188
Consulting,Wirtschaftsprüfer / Buchhalter / Steuerberater,61
Consulting,Strategie,52
Consulting,Material- und Prozesstechnologen,10
Data,SQL,309
Data,Bildungswesen und Training,269
Data,Data Analysis,205
Data,Datenmanagement,188
Data,Ausbildungsaktivitäten,175
Data,Automobilindustrie,158
Data,Datenmodell,154
Data,Postgresql,149
Data,Datenbanken,148
Data,Business Intelligence,110
Data,Logistik / Supply-Chain-Management,96
Data,Datenbankspezialisten,88
Data,Immobilienmakler,34
Data,Kursleiter und Ausbilder,32
Data,Training / Schulung / Coaching,29
Data,Bibliothekare und Dokumentare,12
Data,Saudi Arabien,12
Data,Bildung,8
Data,Blockchain,5
Data,Kolumbien,4
Data,Natural Language Processing,3
Data,Trainer und Coaches,3
Data,Mitarbeiter Bildungswesen/Bildungsunterstützung,2
Data,Serbien,2
Data,Ukraine,2
Data,Azerbaijan,1
Data,Reinigungskräfte für Gebäude und Räumlichkeiten,1
Data,Vereinigte Arabische Emirate,1
Design,Linux,306
Design,Grafikdesign und Kreativdienste,202
Design,Bauingenieurwesen,156
Design,"Kunst, Kultur und Medien",112
Design,Technisches Zeichnen / CAD / CAE,67
Design,User Interface / User Experience,16
Design,Design,13
Design,Illustratoren und Designer,7
Design,Luxemburg,4
Design,Medien,4
Design,Audio/Video Herausgeber/Lektoren,1
Development,Web- und Softwareentwicklung,3342
Development,SAP Applications,1384
Development,Softwareentwicklung,775
Development,Cloud Computing,617
Development,Python,446
Development,Microsoft Azure,436
Development,Softwareentwicklung / -programmierung,405
Development,Java,379
Development,Kubernetes,352
Development,DevOps,337
Development,Amazon Web Services,283
Development,Backend,253
Development,Docker,238
Development,Javascript,231
Development,Web,197
Development,AngularJS,167
Development,Integration (Software),167
Development,Software Systems,164
Development,Software Architecture,163
Development,Systementwickler und -analytiker,148
Development,Software Architektur / Analyse,88
Development,Web Professionals,40
Development,Grafik- / Animationssoftware,21
Development,Hardware-Entwicklung / Engineering,15
Development,Softwarepaketierung / Verteilung,5
Development,Forschung / Entwicklung,3
Development,Mechaniker für mobile Werkzeuge,1
Infrastructure,Infrastruktur,460
Infrastructure,Administration und Kundenbetreuung,322
Infrastructure,Informationssicherheit,284
Infrastructure,Gesundheit und Sicherheit am Arbeitsplatz,179
Infrastructure,System Architektur / Analyse,166
Infrastructure,ERP / CRM Systeme,150
Infrastructure,IT Sicherheit,136
Infrastructure,System- und Anwendungsadministratoren,105
Infrastructure,Systemadministration,98
Infrastructure,Telekommunikation / Netzwerke,89
Infrastructure,Leiter Administration und Kundenservice,88
Infrastructure,Sicherheitstechnik,72
Infrastructure,Serveradministration,55
Infrastructure,Netzwerkspezialisten,39
Infrastructure,Detektiven und Sicherheitsexperten,3
Infrastructure,Technische Zeichner/Systemplaner und Konstrukteure Elektro,1
Management,Management und Beratungsdienste,4148
Management,Projektmanagement,1047
Management,Nur Endkundenprojekte,583
Management,Stakeholder Management,568
Management,Scrum,414
Management,Agile Methodologie,372
Management,Projektplanung,249
Management,Projektleitung / -management / PMO,232
Management,It Service Management,225
Management,Change Management,218
Management,Bauleitung,216
Management,Kundenbeziehungsmanagement,208
Management,Technischer Support,206
Management,Risikomanagement,185
Management,Management,180
Management,Kanban,158
Management,Scaled Agile Framework,151
Management,Vertragsmanagement,150
Management,"Manager Kommunikation, Marketing und Öffentlichkeitsarbeit",139
Management,Qualitätsmanagement / Testing,134
Management,Projektleitung / -management,113
Management,Polen,102
Management,Manager Versicherungen und Finanzen,86
Management,Mecklenburg-Vorpommern,85
Management,Managementanalytiker und -berater,74
Management,Qualitätsmanagement,74
Management,Transport und Verkehr,69
Management,"Management, Verwaltung und Politik",51
Management,Mitarbeiter Support,49
Management,Leiter Verkehr und Transport,31
Management,Projektleiter Bau,30
Management,Account Manager Unternehmensdienstleistungen,27
Management,Manager Bau und Rohstoffgewinnung,27
Management,"Freizeit, Sport und Tourismus",24
Management,Subunternehmer und Projektleiter im Tief- und Wasserbau,24
Management,Support / Techniker,18
Management,Vertriebsleiter / Sales Manager,17
Management,Manager und Führungskräfte Tourismus und Wellness,15
Management,Portugal,14
Management,Engineering Managers / Konstruktionsleiter,11
Management,"Polizei, Feuerwehr und Sicherheit",9
Management,Transport / Spedition,8
Management,"Leiter Polizei, Feuerwehr und Sicherheit",6
Management,Manager Betriebsverwaltung und -politik,5
Management,Import / Export,3
Management,Apotheker und Pharmazeuten,2
Management,Arbeitsmanager,1
Management,"Kranführer, interner Warentransporteur",1
Management,Lieferantenmanagement,1
Management,Manager Reinigung und Wartung,1
Management,Pflegemanager,1
Marketing,Digitales Marketing,384
