date,category,num,href
2025-05-24,Informations- und Kommunikationstechnologie,61070,
2025-05-24,Verwaltung,35834,
2025-05-24,Ingenieurwesen,24923,
2025-05-24,"Kunst, Kultur und Medien",24724,
2025-05-24,Softwareentwicklung / -programmierung,24482,
2025-05-24,"Kommunikation, Marketing und Öffentlichkeitsarbeit",23097,
2025-05-24,Projektleitung / -management / PMO,19729,
2025-05-24,Projektleitung / -management,18443,
2025-05-24,Web,17426,
2025-05-24,Marketing,16193,
2025-05-24,Design,15148,
2025-05-24,Weitere IT-Qualifikationen,14838,
2025-05-24,"Recht, Personalwirtschaft und Sozialwesen",14147,
2025-05-24,Management,13407,
2025-05-24,Strategie,12521,
2025-05-24,Datenbanken,11738,
2025-05-24,Versicherungen und Finanzen,9420,
2025-05-24,Bildungswesen und Training,8819,
2025-05-24,Einkauf und Lagerhaltung,8319,
2025-05-24,Kommunikation,7793,
