date,category,num,href
2025-05-24,Deutschland,7604,
2025-05-24,Freiberuflich,6310,
2025-05-24,Management und Beratungsdienste,4148,
2025-05-24,Web- und Softwareentwicklung,3342,
2025-05-24,Vor Ort,2964,
2025-05-24,IT,2443,
2025-05-24,Remote,2376,
2025-05-24,Hybrid,2263,
2025-05-24,IT-Dienstleistungen,2211,
2025-05-24,Informations- und Kommunikationstechnologie,1842,
2025-05-24,Bayern,1442,
2025-05-24,Nordrhein-Westfalen,1390,
2025-05-24,SAP Applications,1384,
2025-05-24,Schreiben von Dokumentation,1205,
2025-05-24,Ingenieurwesen,1176,
2025-05-24,Forschung und Analyse,1104,
2025-05-24,Projektmanagement,1047,
2025-05-24,Hessen,1022,
2025-05-24,Arbeitnehmerüberlassung,888,
2025-05-24,Baden-Württemberg,871,
