date,Deutschland,Freiberuflich,Hybrid,IT,IT-Dienstleistungen,Informations- und Kommunikationstechnologie,Management und Beratungsdienste,Remote,Vor Ort,Web- und Softwareentwicklung
2025-03-18,7265.0,5964.0,2073.0,2299.0,2047.0,2072.0,3905.0,2356.0,2836.0,3149.0
2025-03-24,7261.0,5938.0,2098.0,2314.0,2042.0,1981.0,3907.0,2362.0,2801.0,3190.0
2025-03-31,7336.0,6007.0,2116.0,2309.0,2016.0,2211.0,4040.0,2346.0,2874.0,3154.0
2025-04-01,7300.0,6002.0,2105.0,2304.0,1999.0,2273.0,4010.0,2334.0,2861.0,3143.0
2025-04-08,7612.0,6238.0,2250.0,2340.0,2160.0,2456.0,4135.0,2380.0,2982.0,3342.0
2025-04-09,7626.0,6249.0,2262.0,2326.0,2164.0,2484.0,4134.0,2374.0,2990.0,3335.0
2025-04-10,7633.0,6256.0,2253.0,2319.0,2162.0,2547.0,4126.0,2389.0,2991.0,3317.0
2025-04-11,7595.0,6232.0,2256.0,2312.0,2144.0,2553.0,4093.0,2380.0,2959.0,3292.0
2025-04-12,7304.0,5942.0,2263.0,2319.0,2114.0,2560.0,3966.0,2309.0,2732.0,3145.0
2025-04-13,7278.0,5921.0,2252.0,2307.0,2106.0,2565.0,3943.0,2305.0,2721.0,3139.0
2025-04-14,7148.0,5830.0,2208.0,2285.0,2080.0,2516.0,3873.0,2270.0,2670.0,3094.0
2025-04-15,7440.0,6121.0,2212.0,2811.0,2152.0,2582.0,4063.0,2344.0,2884.0,3271.0
2025-04-16,7517.0,6191.0,2215.0,2840.0,2174.0,2391.0,4120.0,2369.0,2933.0,3285.0
2025-04-17,7501.0,6156.0,2220.0,2799.0,2162.0,2228.0,4146.0,2353.0,2928.0,3254.0
2025-04-18,7486.0,6150.0,2203.0,2764.0,2152.0,2087.0,4145.0,2339.0,2944.0,3251.0
2025-04-19,7435.0,6131.0,2193.0,2730.0,2129.0,2084.0,4120.0,2320.0,2922.0,3225.0
2025-04-20,7369.0,6080.0,2171.0,2708.0,2110.0,2084.0,4081.0,2301.0,2897.0,3200.0
2025-04-21,7304.0,6049.0,2152.0,2681.0,2087.0,1930.0,4058.0,2274.0,2878.0,3165.0
2025-04-22,7229.0,5984.0,2133.0,2642.0,2070.0,1893.0,4018.0,2257.0,2839.0,3118.0
2025-04-23,7302.0,6031.0,2149.0,2643.0,2086.0,2070.0,4061.0,2246.0,2907.0,3124.0
2025-04-24,7344.0,6075.0,2169.0,2629.0,2094.0,2076.0,4070.0,2277.0,2898.0,3157.0
2025-04-25,7310.0,6056.0,2170.0,2599.0,2094.0,2069.0,4072.0,2270.0,2870.0,3124.0
2025-04-26,7305.0,6054.0,2168.0,2573.0,2093.0,2100.0,4073.0,2265.0,2872.0,3108.0
2025-04-27,7271.0,6030.0,2159.0,2552.0,2085.0,2101.0,4047.0,2257.0,2855.0,3091.0
